uid,ST1_GAP(eV)
test_0,0.38178837
test_1,1.5322809
test_2,0.9880232
test_3,0.5413802
test_4,1.131424
test_5,0.5491929
test_6,0.91621596
test_7,0.7210003
test_8,1.1289634
test_9,0.7701026
test_10,0.6235645
test_11,0.9440133
test_12,0.554783
test_13,0.16846792
test_14,0.9416439
test_15,1.1552148
test_16,0.96248376
test_17,0.57878375
test_18,1.2973357
test_19,0.9758485
test_20,0.93618757
test_21,1.1062258
test_22,0.43780357
test_23,0.3897224
test_24,0.97635984
test_25,0.8501028
test_26,1.2965558
test_27,0.4623216
test_28,1.0423543
test_29,1.006139
test_30,0.3709179
test_31,0.6453613
test_32,1.0683366
test_33,0.83498394
test_34,0.48241782
test_35,1.2786539
test_36,1.0706099
test_37,0.4902007
test_38,0.20944376
test_39,2.101591
test_40,1.3209958
test_41,1.2495046
test_42,0.90364623
test_43,0.4639351
test_44,1.2100847
test_45,1.1285286
test_46,0.3428747
test_47,0.84519225
test_48,1.1093067
test_49,1.1073616
test_50,0.8924269
test_51,1.0390801
test_52,1.4456127
test_53,0.96928734
test_54,1.1278377
test_55,1.5116868
test_56,0.59767365
test_57,0.9803677
test_58,1.031321
test_59,0.9212535
test_60,0.40300763
test_61,0.9305367
test_62,0.47403863
test_63,0.6177992
test_64,0.39718354
test_65,0.23305501
test_66,0.8840265
test_67,0.68576837
test_68,0.5643823
test_69,0.7881573
test_70,1.5347064
test_71,0.87169826
test_72,0.600042
test_73,1.286296
test_74,1.0149876
test_75,1.0186739
test_76,1.0712122
test_77,0.6588331
test_78,1.0109869
test_79,0.68905646
test_80,0.71960187
test_81,0.66855496
test_82,1.1420836
test_83,0.43451822
test_84,0.79503095
test_85,1.2380135
test_86,0.28528133
test_87,0.69607174
test_88,0.6753278
test_89,0.95355004
test_90,1.2001935
test_91,0.48704147
test_92,0.64918816
test_93,0.85987276
test_94,0.60757446
test_95,0.47817892
test_96,0.54162467
test_97,1.0644519
test_98,0.52177674
test_99,0.72618884
test_100,0.95109105
test_101,0.6380761
test_102,1.1190963
test_103,0.8900985
test_104,1.0819433
test_105,0.7692491
test_106,0.41317838
test_107,0.66877604
test_108,1.0634725
test_109,0.49257714
test_110,0.20833799
test_111,0.83690155
test_112,0.92899877
test_113,0.43548277
test_114,0.8470653
test_115,0.8159959
test_116,0.6244216
test_117,1.2318218
test_118,0.7782054
test_119,0.5883368
test_120,0.8291242
test_121,0.8647425
test_122,0.69559264
test_123,0.96708447
test_124,0.5672708
test_125,0.8004471
test_126,1.0637474
test_127,0.633952
test_128,0.92481965
test_129,1.0361736
test_130,0.78219485
test_131,0.38785034
test_132,0.54018646
test_133,0.16308473
test_134,0.97027975
test_135,1.151243
test_136,1.1176444
test_137,0.9820518
test_138,0.34014758
test_139,1.0839977
test_140,1.0476661
test_141,0.97568816
test_142,0.798529
test_143,1.0813527
test_144,1.0426978
test_145,1.1561528
test_146,0.6668476
test_147,1.1747177
test_148,0.95651054
test_149,1.2862091
test_150,0.9694486
test_151,1.1361238
test_152,0.46479583
test_153,0.8416914
test_154,1.229526
test_155,0.4156438
test_156,0.71653885
test_157,0.9919285
test_158,0.99679244
test_159,0.3210905
test_160,1.0184238
test_161,0.82966846
test_162,0.76149285
test_163,1.0972261
test_164,0.9280487
test_165,0.7348674
test_166,0.9896396
test_167,1.1175117
test_168,0.52688384
test_169,1.1057544
test_170,1.0383356
test_171,0.9891376
test_172,0.4754293
test_173,0.9596211
test_174,0.81659836
test_175,1.3148191
test_176,0.18082124
test_177,1.5174189
test_178,1.0405493
test_179,0.53520167
test_180,0.3711224
test_181,0.9411468
test_182,1.012852
test_183,0.8181454
test_184,1.3000075
test_185,0.5729686
test_186,0.93354976
test_187,0.16686061
test_188,1.2931931
test_189,0.7060767
test_190,0.8217012
test_191,0.6780837
test_192,0.974416
test_193,1.122666
test_194,1.0107936
test_195,0.96390015
test_196,0.38776976
test_197,0.38285017
test_198,0.79922056
test_199,1.2948916
test_200,1.1931064
test_201,0.8256655
test_202,0.66510075
test_203,0.937421
test_204,0.94209665
test_205,0.9626633
test_206,0.47672516
test_207,1.3584776
test_208,1.2992005
test_209,1.0246174
test_210,1.1526356
test_211,0.27629822
test_212,0.999672
test_213,0.9450014
test_214,0.9331024
test_215,1.0308893
test_216,0.8748298
test_217,0.16383456
test_218,0.7888627
test_219,1.0155497
test_220,0.8579096
test_221,0.76238215
test_222,0.74824566
test_223,1.2680514
test_224,0.95781714
test_225,0.7768054
test_226,0.34302613
test_227,0.9075777
test_228,1.1646376
test_229,0.5666495
test_230,0.85882103
test_231,0.51050365
test_232,1.0820825
test_233,0.86051744
test_234,0.94603676
test_235,0.27519765
test_236,0.5668409
test_237,0.5042681
test_238,0.49766576
test_239,1.5365326
test_240,0.8181602
test_241,1.4092827
test_242,0.48272312
test_243,1.3392735
test_244,1.046772
test_245,0.80193114
test_246,0.1365145
test_247,0.884589
test_248,0.5865454
test_249,0.95539504
test_250,1.086981
test_251,2.4114964
test_252,1.4785144
test_253,0.3729444
test_254,0.832758
test_255,0.9150875
test_256,0.9475638
test_257,0.5707184
test_258,0.8067279
test_259,0.9807432
test_260,0.81688046
test_261,0.8780403
test_262,1.1973195
test_263,0.2085816
test_264,0.5575841
test_265,0.6340179
test_266,1.0153513
test_267,1.1492193
test_268,1.0928354
test_269,1.0046191
test_270,1.058989
test_271,0.46335828
test_272,1.059489
test_273,0.9062722
test_274,0.6350306
test_275,0.6045848
test_276,0.9921859
test_277,0.8249512
test_278,0.5901723
test_279,0.5455681
test_280,1.0489471
test_281,0.5112678
test_282,0.99743927
test_283,0.9809644
test_284,0.91324127
test_285,1.123028
test_286,0.5262053
test_287,0.7259961
test_288,1.201864
test_289,0.7360949
test_290,0.6753888
test_291,0.43806547
test_292,1.3091044
test_293,1.0838933
test_294,0.21139517
test_295,0.98908323
test_296,0.8445355
test_297,0.7163922
test_298,1.2485709
test_299,0.5652739
test_300,1.1030712
test_301,0.97330236
test_302,1.1484349
test_303,0.5181774
test_304,0.7971934
test_305,1.1598094
test_306,0.78969395
test_307,0.7665253
test_308,1.7508583
test_309,0.7014538
test_310,0.32849294
test_311,0.7449695
test_312,0.533236
test_313,0.6394223
test_314,0.97725576
test_315,0.63426435
test_316,0.88788825
test_317,1.0712321
test_318,0.56765705
test_319,0.9201189
test_320,0.3099034
test_321,0.8980565
test_322,0.54944265
test_323,0.856548
test_324,0.9583374
test_325,1.5340292
test_326,0.9474213
test_327,0.73254037
test_328,0.9550308
test_329,0.8855454
test_330,0.82589394
test_331,0.75754094
test_332,0.9773232
test_333,0.87181604
test_334,0.62771034
test_335,0.6139282
test_336,1.2200258
test_337,0.92535406
test_338,1.0819614
test_339,0.96277493
test_340,1.1976866
test_341,1.4400773
test_342,0.3350949
test_343,1.1223309
test_344,0.5430817
test_345,0.5783386
test_346,0.7029252
test_347,0.6628768
test_348,1.0857435
test_349,0.75824994
test_350,0.8660678
test_351,0.28373888
test_352,0.41465732
test_353,1.0808613
test_354,1.2038224
test_355,0.82271564
test_356,1.1744905
test_357,1.1321654
test_358,0.81437147
test_359,0.57728046
test_360,0.23093727
test_361,0.5222094
test_362,0.95575285
test_363,1.0588636
test_364,0.5662727
test_365,0.92681235
test_366,0.61411166
test_367,0.3694956
test_368,0.35185212
test_369,0.47886097
test_370,0.7001757
test_371,0.36385652
test_372,1.1123836
test_373,0.71477634
test_374,1.1685226
test_375,1.1496809
test_376,0.96909803
test_377,1.0972905
test_378,0.99092823
test_379,1.6284852
test_380,0.8431648
test_381,1.2702894
